artist,hashtag,title,filename,url
Lou Scheper-Berkenkamp,LouScheperBerkenkamp,Normen-Menschen ... weiblichen Geschlechts,berkenkamp1.jpg,http://www.google.de/imgres?imgurl=http%3A%2F%2Fwww.minimumblog.com%2Fwp-content%2Fuploads%2F2012%2F10%2FBauhaus-Archiv-Berlin-Phantastiken-Lou-Scheper-Berkenkamp-Normen%2525E2%252580%252590Menschen-weiblichen-Geschlechts.jpg&imgrefurl=http%3A%2F%2Fwww.minimumblog.com%2Ftag%2Flou-scheper-berkenkamp%2F&h=567&w=800&tbnid=f5u4KQ83hg5PiM%3A&docid=RmB0NyMZHkoOBM&ei=c6fQVba8D8nzUILfmbAK&tbm=isch&iact=rc&uact=3&dur=1738&page=1&start=0&ndsp=44&ved=0CDMQrQMwBmoVChMI9sHZ-PCtxwIVyTkUCh2Cbwam
Erma Bossi,ErmaBossi,"Beweinung Christi, 1911",ermabossi3.jpg,http://schlossmuseum.swhosting2.de/bilder/sonstige_bilder/Bossi%20Pieta_web.jpg
Elisabeth Epstein,ElisabethEpstein,"Frauenportrait, 1905",elisabethepstein3.png,http://www.artnet.com/artists/elisabeth-epstein/past-auction-results/2
Grete Stern,GreteStern,"Glass With Paper, 1931",GreteStern2.jpg,http://www.nailyaalexandergallery.com/series/stern-selected-images
Friedl Dicker-Brandeins,FriedlDicker,"Der Hirsch, Der Pelikan, Der Hase, 1925",FreidlDickerBrandeins2.png,http://www.ribambins.net/2012_04_01_archive.html
Sonia Delaunay-Terk,SoniaDelaunayTerk,"Grey Petals on Black Fabric Design, unknown",soniadelaunay5.jpg,http://www.artnet.com/artists/sonia-delaunay-terk/
Alma Siedhoff-Buscher,AlmaSiedhoffBuscher,"Kleines Schiffbauspiel, 1923",AlmaSiedhoffBuscher.png,http://media.vam.ac.uk/media/thira/collection_images/2006AF/2006AF3321.jpg
Maria Marc,MariaMarc,"Nächtlicher Mummenschanz, um 1911",mariamarc2.jpg,http://www.christian-muggenthaler.de/index.php?rex_resize=494w__ab_nach_muenchen_3.jpg
Ise Gropius,IseGropius,"Selbstportrait vor dem Toilettenspiegel im Dessauer Meisterhaus, 1926-27",IseGropius1.png,http://bauhaus-online.de/atlas/personen/ise-gropius-frank
Gunta Stölzl,GuntaStölzl,"Teppich, 1926",GuntaStolzl1.jpg,http://img.archiexpo.de/images_ae/photo-g/moderner-teppich-wolle-motiven-gunta-stolzl-52248-4583567.jpg
Sonia Delaunay-Terk,SoniaDelaunayTerk,"Yellow Nude, 1908",soniadelaunay4.jpg,http://www.tate.org.uk/whats-on/tate-modern/exhibition/ey-exhibition-sonia-delaunay
Ilse Fehling,IlseFehling,"Abstrakte Skulptur, 1922",IlseFehling2.png,http://3.bp.blogspot.com/-JThMriludsQ/TdL0URPMJFI/AAAAAAAAIpQ/efhP0XvtDqg/s1600/28.jpg
Else Lasker-Schüler,ElseLaskerSchüler,"Jussuf bewundert eine blaue Rose, 1920",elselaskerschueler3.jpg,http://www.exilzentrum.de/start/index.php/sammlung-else-lasker-schueler
Benita Koch-Otte,BenitaKochOtte,"Entwurf für das Fest ""Die Neue Sachlichtkiet"", 1925",BenitaKochOtte2.jpg,http://www.burg-halle.de/typo3temp/pics/nikon-dsc_0063b_76bb9fc01a.jpg
